FUNCTION                                                         CALLS        %      TIME  [uS / CALLS]
--------                                                         -----  -------      ----  [----------]
prim_inet:type_value/2                                             880     0.00        56  [      0.06]
prim_inet:enc_value_default/3                                     1040     0.00        58  [      0.06]
prim_inet:enc_opt_val/2                                            960     0.00        58  [      0.06]
prim_inet:enc_value/2                                              880     0.00        61  [      0.07]
prim_inet:enc_value/3                                             1040     0.00        62  [      0.06]
prim_inet:type_value/3                                            1040     0.00        63  [      0.06]
prim_inet:enc_opts/1                                               960     0.00        64  [      0.07]
prim_inet:type_value_1/3                                          1040     0.00        68  [      0.07]
prim_inet:enc_value_1/3                                           1040     0.00        68  [      0.07]
prim_inet:dec_opt/1                                                880     0.00        72  [      0.08]
prim_inet:type_value_default/3                                    1040     0.00        73  [      0.07]
prim_inet:enc_value_2/2                                            960     0.00        75  [      0.08]
prim_inet:type_value_2/2                                           960     0.00        78  [      0.08]
prim_inet:dec_value/2                                             1040     0.00       116  [      0.11]
prim_inet:enc_opt/1                                               1760     0.00       128  [      0.07]
prim_inet:type_opt/2                                              2640     0.00       151  [      0.06]
prim_inet:dec_opt_val/1                                            960     0.00       159  [      0.17]
prim_inet:dec_opt_val/3                                            880     0.00       162  [      0.18]
erlang:spawn/3                                                      80     0.00       163  [      2.04]
prim_inet:type_opt_1/1                                            2640     0.00       173  [      0.07]
prim_inet:enc_opt_val/4                                            880     0.00       225  [      0.26]
prim_inet:enc_opts/2                                               880     0.00       323  [      0.37]
prim_tty:write_nif/2                                                 1     0.00       716  [    716.00]
lists:duplicate/2                                               153109     0.04     17731  [      0.12]
string:length/1                                                 153109     0.05     17983  [      0.12]
gen:'-call/4-fun-0-'/4                                          153109     0.05     18887  [      0.12]
vordb_dirty_tracker:'-mark_dirty/3-lc$^0/1-0-'/4                153109     0.05     20160  [      0.13]
gen:call/3                                                      153109     0.05     20902  [      0.14]
vordb_ffi:entry_new/3                                           153109     0.06     22017  [      0.14]
vordb_ffi:dirty_mark/3                                          153109     0.06     22761  [      0.15]
gleam@int:min/2                                                 153109     0.06     23576  [      0.15]
lists:reverse/1                                                 153109     0.06     23578  [      0.15]
lists:foreach_1/2                                               153210     0.06     24973  [      0.16]
gleam@list:contains/2                                           153109     0.06     25021  [      0.16]
vordb_ffi:storage_put_lww/3                                     153109     0.07     25795  [      0.17]
lists:foreach/2                                                 153110     0.07     26025  [      0.17]
vordb_pb:encode_msg_OkResponse/3                                153109     0.07     26574  [      0.17]
vordb_pb:decode_msg_PutRequest/2                                153109     0.07     26661  [      0.17]
maps:find/2                                                     153109     0.07     28294  [      0.18]
vordb_cache:put_lww/3                                           153109     0.07     28361  [      0.19]
unicode_util:gc/1                                               306218     0.07     28540  [      0.09]
vordb_coordinator:fan_out_async/3                               153109     0.07     28911  [      0.19]
vordb_pb:e_type_int64/3                                         153109     0.08     30330  [      0.20]
gen_server:call/2                                               153109     0.08     30520  [      0.20]
erlang:integer_to_list/1                                        153113     0.08     33477  [      0.22]
vordb@ring:key_nodes/2                                          153109     0.09     35060  [      0.23]
vordb_ring_manager:self_node/0                                  153109     0.09     35156  [      0.23]
